gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,38,Yes,No phone service,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.6,1363.06,Yes
Male,0,Yes,No,57,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),113.36,6442.06,No
Female,0,No,Yes,53,Yes,Yes,DSL,No,No internet service,No,Yes,No,No,Month-to-month,No,Credit card (automatic),104.45,5513.35,No
Male,0,Yes,Yes,54,No,No phone service,DSL,No,Yes,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),118.04,6363.69,No
Male,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,119.03,7390.63,Yes
Male,0,No,No,8,Yes,No phone service,No,No internet service,No internet service,Yes,No,No,No,Two year,Yes,Credit card (automatic),31.56,260.43,Yes
Male,0,No,No,17,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,52.1,897.96,No
Male,0,No,No,56,Yes,No phone service,DSL,No,Yes,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,19.36,1077.43,No
Male,0,No,No,20,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No internet service,One year,No,Credit card (automatic),52.8,1080.43,No
Female,1,No,No,53,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),39.15,2051.25,Yes
Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,79.56,3740.12,No
Male,0,No,No,23,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,72.89,1682.93,Yes
Female,1,Yes,No,63,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,No internet service,One year,Yes,Mailed check,27.18,1700.1,No
Female,0,No,No,68,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),62.87,4259.27,No
Female,0,No,No,72,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,101.3,7283.27,Yes
Female,0,Yes,No,57,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),61.67,3538.94,No
Female,0,No,No,19,Yes,No,No,No internet service,No,No internet service,No internet service,No,No,Two year,No,Mailed check,118.09,2238.4,No
Male,0,Yes,No,22,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,No,Month-to-month,Yes,Mailed check,115.3,2555.5,No
Male,0,No,Yes,37,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,64.49,2357.95,No
Female,0,Yes,Yes,17,Yes,No,No,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),110.2,1892.72,No
Male,0,Yes,Yes,22,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,65.09,1439.84,No
Female,0,No,Yes,47,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,27.07,1265.01,No
Male,0,No,Yes,42,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),37.05,1573.17,No
Male,0,No,Yes,66,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),88.51,5817.05,No
Male,0,Yes,No,0,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,37.28,0.0,Yes
Female,0,No,No,13,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),91.24,1187.26,No
Female,0,No,No,64,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),52.5,3333.56,No
Female,0,Yes,No,53,Yes,No,No,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),51.25,2740.49,No
Male,0,No,No,15,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),97.65,1441.44,No
Female,0,No,No,43,No,No,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,81.38,3492.53,No
Female,0,No,No,54,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,54.01,2892.25,No
Male,0,No,Yes,41,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,88.76,3633.63,No
Female,0,Yes,No,59,Yes,No,No,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.59,5246.37,No
Female,0,No,Yes,24,No,No,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.05,2404.7,No
Male,1,No,No,17,Yes,No,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,90.99,1544.8,Yes
Female,0,Yes,Yes,68,Yes,No,No,No internet service,No,No,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),29.38,1982.96,No
Male,0,Yes,No,69,Yes,No,DSL,No,No,No internet service,No,No,Yes,Two year,No,Mailed check,99.53,6852.47,No
Male,0,No,Yes,23,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,74.4,1682.3,No
Male,1,No,No,64,Yes,No,DSL,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),97.49,6251.12,No
Female,0,No,No,1,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),70.51,42.9,No
Female,0,Yes,No,5,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,42.97,208.5,Yes
Female,0,No,Yes,2,Yes,No phone service,No,No,No,No,Yes,No,No,One year,No,Electronic check,80.66,167.94,No
Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),107.42,7490.59,No
Male,1,No,No,31,Yes,No,DSL,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),84.31,2610.88,No
Female,0,Yes,No,24,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.49,2194.21,No
Male,0,No,Yes,48,Yes,No phone service,No,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,23.07,1117.09,No
Female,0,Yes,No,37,Yes,No,DSL,No internet service,No,No,No,Yes,No,One year,Yes,Mailed check,66.28,2453.22,No
Male,1,Yes,No,6,No,Yes,No,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),99.5,573.78,Yes
Female,1,Yes,No,67,Yes,No phone service,No,No internet service,No internet service,No,No,No,Yes,One year,Yes,Credit card (automatic),47.54,3161.44,No
Male,0,Yes,No,46,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),119.04,5500.83,No
Male,0,Yes,No,53,Yes,No,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,47.52,2503.71,Yes
Male,0,No,No,33,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,21.11,690.54,No
Female,0,Yes,Yes,21,Yes,No phone service,DSL,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),22.44,496.25,No
Male,0,Yes,No,18,No,No,No,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),108.53,1936.82,No
Female,1,Yes,No,36,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,119.1,4283.63,Yes
Female,0,Yes,No,62,Yes,No,DSL,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),88.0,5438.71,No
Female,0,No,Yes,5,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,65.77,323.6,Yes
Male,0,No,No,45,Yes,No,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.58,4212.05,No
Female,1,No,No,58,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.83,4154.83,Yes
Female,0,No,No,61,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,86.47,5301.48,Yes
Female,0,No,No,58,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,Two year,Yes,Mailed check,27.04,1568.25,No
Male,0,No,No,31,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.48,1191.78,No
Male,0,No,No,20,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.43,2213.02,No
Female,1,No,Yes,56,Yes,No,No,No,No,No,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),57.2,3232.65,No
Male,0,No,No,62,Yes,No,No,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),106.26,6597.94,No
Male,0,No,Yes,11,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),81.18,904.47,Yes
Female,0,No,No,50,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.87,3582.9,Yes
Female,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),38.11,94.38,Yes
Male,0,Yes,No,39,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No internet service,One year,Yes,Electronic check,35.35,1383.2,No
Female,0,No,No,32,Yes,No,DSL,No,Yes,Yes,Yes,No,No internet service,One year,Yes,Mailed check,108.15,3476.64,No
Female,1,Yes,No,6,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,56.97,340.43,Yes
Male,0,No,No,50,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No,No,One year,No,Credit card (automatic),58.59,2914.35,No
Male,0,No,No,3,Yes,Yes,No,No,No,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),116.45,367.13,No
Male,1,No,No,4,No,No phone service,No,No internet service,No,No internet service,No,Yes,No,One year,Yes,Electronic check,117.54,472.88,No
Female,0,No,No,70,Yes,No,DSL,No internet service,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,69.03,4843.94,Yes
Male,0,No,Yes,23,Yes,No phone service,No,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),45.79,1074.24,No
Female,0,No,Yes,9,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),21.32,183.92,Yes
Female,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.91,2225.27,No
Male,0,Yes,No,10,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Two year,No,Bank transfer (automatic),86.85,894.01,Yes
Female,0,No,No,7,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),112.89,819.85,Yes
Female,0,No,Yes,2,Yes,Yes,DSL,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,39.67,68.11,Yes
Female,0,No,No,42,Yes,No,No,No,No,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),98.01,4134.72,No
Female,0,Yes,No,38,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,106.23,4061.1,No
Male,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.51,3436.43,No
Female,1,No,No,61,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,80.69,4919.32,No
Male,1,No,No,19,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,Yes,One year,No,Mailed check,55.19,1038.63,No
Female,0,No,No,35,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),30.77,1073.25,Yes
Female,0,No,No,0,No,Yes,DSL,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),28.12,0.0,Yes
Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,103.55,4125.04,Yes
Male,0,Yes,No,17,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),106.99,1841.87,No
Male,0,Yes,Yes,51,Yes,No,No,No,No,No,No internet service,Yes,Yes,Two year,No,Electronic check,28.99,1492.05,No
Female,0,No,Yes,71,Yes,No,No,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,55.49,3942.07,No
Female,0,No,No,64,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,93.32,5956.82,Yes
Female,0,No,No,50,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),18.12,930.25,Yes
Male,0,No,Yes,27,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Mailed check,28.99,765.94,No
Male,1,Yes,No,7,Yes,No,No,No,No internet service,Yes,Yes,Yes,No internet service,One year,No,Electronic check,64.46,467.42,Yes
Male,0,Yes,Yes,7,Yes,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,21.78,137.78,Yes
Male,0,No,No,69,No,Yes,DSL,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,44.15,3043.95,No
Male,0,Yes,Yes,9,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),22.96,223.99,Yes
Female,0,Yes,Yes,70,Yes,No,DSL,Yes,No,No,Yes,No internet service,No,Two year,Yes,Electronic check,24.11,1675.5,No
Female,0,Yes,No,3,No,No,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,112.39,365.01,No
Female,0,Yes,No,46,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Mailed check,91.43,4190.25,No
Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),28.66,1266.2,No
Male,0,Yes,No,26,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),115.54,3009.95,Yes
Male,0,Yes,Yes,35,Yes,No,DSL,Yes,No,No,No,No internet service,No,Month-to-month,No,Electronic check,33.4,1178.12,No
Male,0,Yes,No,63,Yes,No,DSL,No,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,96.29,6085.85,No
Male,0,No,Yes,25,Yes,No,No,No,No internet service,No,No internet service,No,No,Month-to-month,No,Electronic check,25.81,662.71,No
Male,1,Yes,No,21,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,49.15,1025.88,No
Female,0,No,Yes,51,Yes,No,DSL,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,28.83,1474.4,No
Male,0,Yes,No,20,Yes,No,No,No,No internet service,No,No,No,No,Month-to-month,No,Mailed check,36.54,740.41,No
Female,0,No,No,21,Yes,No,No,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,73.77,1565.27,Yes
Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),87.72,3337.16,No
Male,0,No,No,11,No,No,No,Yes,No,No,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),107.49,1170.17,Yes
Female,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,No internet service,No,No,Yes,One year,No,Electronic check,115.27,6586.47,No
Female,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,55.98,1090.67,No
Male,0,No,No,21,No,No,DSL,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),78.47,1623.04,No
Female,0,No,No,10,Yes,No,DSL,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,59.45,622.89,Yes
Female,0,No,No,38,Yes,No phone service,No,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Mailed check,103.61,3913.6,No
Male,0,No,No,71,Yes,No,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,32.34,2309.31,No
Female,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),107.59,1292.82,No
Male,1,No,Yes,8,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),63.97,515.35,Yes
Male,0,Yes,No,0,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Mailed check,38.77,0.0,Yes
Male,0,No,No,57,Yes,No,DSL,No,No,No,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),102.54,5828.02,No
Female,0,Yes,No,14,Yes,No phone service,No,No,No,No,No internet service,No,No,One year,Yes,Mailed check,102.02,1420.53,No
Male,0,Yes,Yes,60,Yes,No,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,37.24,2250.87,No
Male,0,No,No,71,Yes,Yes,No,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.76,1425.57,No
Female,0,No,No,46,Yes,No,DSL,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,96.74,4460.01,No
Female,0,Yes,No,67,No,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),119.39,8023.77,No
Female,0,Yes,No,53,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),92.85,4891.7,No
Male,0,No,No,60,Yes,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,62.88,3766.23,No
Female,0,No,No,66,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),37.95,2529.66,No
Female,0,Yes,Yes,42,Yes,Yes,DSL,No,No internet service,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),23.7,990.19,No
Female,0,Yes,No,21,Yes,No,No,Yes,No,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,76.58,1590.91,No
Female,0,Yes,No,32,Yes,No,No,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),41.99,1318.68,No
Female,0,No,Yes,35,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),77.39,2691.3,No
Male,1,No,Yes,51,Yes,No,DSL,No,No,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),76.48,3901.4,No
Male,0,No,No,40,Yes,No,DSL,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Electronic check,112.65,4529.22,No
Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.89,660.72,Yes
Female,0,Yes,No,69,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,64.87,4449.09,Yes
Female,0,No,No,38,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),25.25,950.72,No
Female,0,Yes,No,8,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,No,Electronic check,84.43,675.64,Yes
Male,0,No,No,54,Yes,Yes,DSL,No,Yes,No,No internet service,No,No,Two year,No,Bank transfer (automatic),110.35,5931.11,No
Male,0,Yes,Yes,52,Yes,No phone service,No,No internet service,Yes,No internet service,No,Yes,No,One year,No,Electronic check,24.15,1238.77,No
Male,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Mailed check,53.73,1144.78,No
Female,0,Yes,No,27,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),21.24,590.14,No
Female,0,No,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,95.31,5802.5,No
Male,0,Yes,No,20,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.8,2042.01,Yes
Male,0,No,No,28,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),101.58,2846.41,No
Male,0,Yes,Yes,28,No,No phone service,No,No internet service,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),27.56,759.11,No
Male,0,Yes,Yes,48,Yes,No,No,No,No,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),74.0,3548.27,No
Female,1,Yes,Yes,14,No,No,Fiber optic,No,No,No internet service,No,No,No,One year,No,Credit card (automatic),103.93,1437.38,No
Male,0,No,Yes,30,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),90.78,2702.67,No
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No,Two year,Yes,Credit card (automatic),68.96,2046.96,No
Male,0,Yes,No,44,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),51.06,2257.02,No
Female,0,Yes,Yes,49,Yes,Yes,DSL,No internet service,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),62.73,3085.34,No
Male,0,Yes,Yes,59,No,No,Fiber optic,No internet service,No,No,No,No,Yes,One year,Yes,Mailed check,107.35,6328.01,No
Male,0,No,Yes,36,Yes,No,No,No,No internet service,No internet service,Yes,Yes,No,One year,No,Bank transfer (automatic),113.12,4068.39,No
Male,1,No,No,61,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,22.71,1381.08,Yes
Male,0,No,Yes,9,Yes,No,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),47.91,445.28,Yes
Female,0,No,Yes,13,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),89.52,1178.17,No
Male,0,Yes,No,20,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Month-to-month,No,Electronic check,87.95,1787.9,No
Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,72.12,98.12,Yes
Female,0,No,No,48,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,Yes,One year,Yes,Electronic check,21.75,1067.62,No
Female,1,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,92.22,3973.84,Yes
Male,0,No,No,29,Yes,No,DSL,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,59.0,1722.24,Yes
Female,0,No,Yes,35,Yes,No,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),57.82,2008.05,No
Female,1,Yes,Yes,17,No,No,DSL,No,No internet service,No,No internet service,No internet service,Yes,One year,No,Electronic check,93.76,1600.84,No
Male,0,No,No,14,Yes,No,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),37.67,528.05,No
Female,1,No,No,47,No,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,119.43,5640.64,Yes
Male,0,Yes,No,27,Yes,No,No,No internet service,No,No,No,No internet service,No internet service,Two year,No,Electronic check,45.84,1234.28,No
Female,0,Yes,Yes,35,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,58.38,2020.33,No
Female,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),46.05,672.31,No
Female,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),71.84,4149.77,No
Male,0,No,Yes,64,Yes,No,No,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),102.51,6556.63,No
