gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,No,No,17,Yes,No,Fiber optic,No,No,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),72.56,1230.53,No
Male,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.06,277.37,Yes
Female,0,No,No,25,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,24.54,608.08,No
Female,1,No,Yes,19,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),65.26,1250.18,No
Female,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),95.45,1628.21,No
Female,0,No,No,63,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,96.9,6075.96,No
Female,0,Yes,Yes,43,Yes,No,DSL,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),66.38,2876.52,No
Male,0,No,Yes,10,Yes,No,DSL,No,No internet service,No,No,No,No internet service,Two year,Yes,Mailed check,63.26,645.77,Yes
Female,0,Yes,No,70,Yes,No phone service,No,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,79.79,5564.79,No
Female,0,Yes,No,18,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,No internet service,Two year,No,Mailed check,43.35,763.76,No
Female,1,Yes,Yes,10,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),77.3,802.65,No
Male,0,No,No,72,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,No,One year,No,Electronic check,24.18,1726.94,No
Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),47.96,1223.66,No
Male,0,Yes,No,63,Yes,No phone service,No,No internet service,No,No internet service,Yes,No,No,One year,No,Credit card (automatic),20.92,1320.18,No
Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Mailed check,44.69,1289.46,No
Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),55.91,3666.84,No
Female,0,Yes,No,48,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Mailed check,98.0,4698.49,Yes
Male,0,No,Yes,42,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No internet service,One year,No,Credit card (automatic),59.93,2538.93,No
Female,0,Yes,No,67,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,Two year,Yes,Electronic check,64.72,4345.46,No
Female,0,Yes,No,1,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,62.47,38.24,Yes
Female,0,Yes,Yes,22,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,102.73,2247.97,No
Male,0,Yes,Yes,36,Yes,No,No,No,No,No,No internet service,No,No,Two year,Yes,Credit card (automatic),119.16,4288.76,No
Female,0,No,Yes,72,Yes,No,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,119.03,8565.4,No
Female,0,No,No,51,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,Two year,Yes,Electronic check,58.18,2983.83,No
Female,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,Yes,No,No,Two year,Yes,Electronic check,77.0,2049.95,No
Female,0,No,Yes,8,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),110.72,870.97,Yes
Male,0,Yes,No,72,No,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,Two year,Yes,Electronic check,31.49,2273.89,No
Male,0,Yes,No,32,Yes,No,DSL,No,No,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),31.35,1023.2,No
Female,0,Yes,No,2,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,87.94,162.84,Yes
Male,1,Yes,No,62,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,108.07,6686.05,Yes
Male,1,Yes,No,37,Yes,No,DSL,No,Yes,No internet service,No,Yes,Yes,One year,Yes,Credit card (automatic),112.77,4142.79,No
Female,0,No,No,29,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,33.07,961.01,No
Female,0,No,No,66,No,No,Fiber optic,No internet service,No,Yes,No,No,No internet service,One year,Yes,Electronic check,19.72,1329.33,No
Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),92.77,6147.85,Yes
Male,0,No,No,66,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),30.41,2022.06,No
Male,0,Yes,No,10,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Two year,No,Mailed check,78.32,782.77,No
Female,0,No,No,22,Yes,No,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,27.56,595.32,No
Male,0,No,No,25,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,69.61,1716.13,No
Male,0,Yes,No,47,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),39.38,1820.95,No
Male,0,Yes,No,34,Yes,No phone service,No,No,No,Yes,No,No,No internet service,One year,Yes,Credit card (automatic),89.86,3039.45,No
Female,0,No,Yes,48,No,Yes,DSL,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,33.93,1654.93,Yes
Female,0,Yes,Yes,9,No,No,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Mailed check,82.59,725.94,Yes
Male,0,Yes,No,43,Yes,No,No,No internet service,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),79.38,3398.27,No
Female,0,Yes,No,26,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,51.0,1345.47,No
Male,1,No,No,54,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,107.88,5819.51,Yes
Female,1,No,No,43,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),84.58,3638.15,No
Male,0,Yes,No,51,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Mailed check,65.26,3357.21,No
Male,0,Yes,No,36,Yes,Yes,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,68.41,2444.35,No
Male,0,No,No,65,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),58.05,3765.61,No
Female,0,No,No,64,Yes,No,DSL,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.98,1288.84,No
Male,0,No,No,59,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),71.5,4219.15,No
Male,0,No,No,52,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),18.89,980.08,No
Female,0,Yes,Yes,68,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,32.39,2179.28,No
Female,1,Yes,Yes,57,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Mailed check,99.97,5685.63,No
Female,0,Yes,No,35,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No,One year,Yes,Credit card (automatic),39.8,1389.62,Yes
Female,0,Yes,No,40,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,102.5,4071.08,No
Male,1,No,Yes,32,Yes,No,No,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),117.64,3764.22,No
Female,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,No,Mailed check,56.18,2257.45,No
Female,0,Yes,No,20,Yes,Yes,DSL,No internet service,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,105.92,2101.4,No
Male,0,No,Yes,43,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.51,3000.8,No
Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,109.83,1226.09,Yes
Male,0,Yes,No,15,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),83.4,1265.88,No
Female,0,Yes,No,31,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,91.26,2818.84,No
Female,1,Yes,No,69,Yes,No,No,No,No internet service,No,No,No,Yes,Month-to-month,No,Credit card (automatic),39.63,2712.6,Yes
Male,0,No,No,67,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,19.55,1316.02,No
Male,0,Yes,No,12,No,No,DSL,No,Yes,No,No internet service,No,No internet service,Two year,No,Mailed check,35.87,428.1,No
Female,0,Yes,No,68,Yes,No,DSL,No,No internet service,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),64.36,4403.6,No
Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),56.27,1058.0,Yes
Male,0,No,No,48,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Two year,No,Mailed check,34.66,1636.22,No
Male,0,Yes,No,60,Yes,No,DSL,Yes,No internet service,No,No,Yes,Yes,One year,Yes,Electronic check,53.47,3237.99,No
Male,1,Yes,No,10,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),110.82,1129.42,Yes
Male,0,Yes,No,42,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,No,One year,Yes,Credit card (automatic),84.97,3591.61,No
Male,0,No,Yes,48,Yes,Yes,No,No internet service,No,No,No,No,Yes,Two year,Yes,Electronic check,33.73,1637.53,No
Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,23.25,196.59,Yes
Male,0,Yes,No,56,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Two year,Yes,Electronic check,108.69,6109.22,Yes
Male,0,No,No,6,Yes,No,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),24.86,178.12,Yes
Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,62.6,1101.08,Yes
Female,0,No,No,32,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,One year,No,Mailed check,78.58,2544.1,No
Male,0,Yes,Yes,30,No,No,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,48.29,1422.09,No
Male,0,Yes,Yes,10,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No internet service,One year,Yes,Electronic check,110.07,1103.17,No
Male,0,No,Yes,2,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,57.94,125.25,Yes
Female,0,No,No,42,Yes,No,DSL,No,No,No,Yes,No internet service,No,Two year,No,Credit card (automatic),115.3,4859.45,No
Female,0,No,Yes,45,Yes,No,DSL,No,Yes,No internet service,Yes,No,No,One year,Yes,Credit card (automatic),61.73,2773.17,No
Male,0,Yes,No,26,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),66.11,1705.14,No
Male,0,Yes,No,13,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),28.25,378.37,No
Male,1,No,Yes,5,Yes,No phone service,DSL,No,No,Yes,No,No,No internet service,One year,Yes,Electronic check,63.52,289.59,Yes
Male,1,No,No,39,Yes,No,DSL,No internet service,No internet service,No,No,No,Yes,One year,No,Mailed check,90.86,3563.67,No
Female,0,No,No,47,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),119.22,5600.82,Yes
Male,1,Yes,No,10,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),20.1,212.64,Yes
Female,0,Yes,Yes,6,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,No,Two year,No,Credit card (automatic),36.35,213.85,Yes
Female,0,No,Yes,65,Yes,No,DSL,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,109.1,7092.81,No
Female,0,Yes,No,53,Yes,No,No,No internet service,No,No,No,No internet service,Yes,Two year,No,Mailed check,67.47,3554.71,No
Female,1,Yes,No,47,Yes,No,No,No,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,77.15,3613.23,No
Male,0,No,Yes,18,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),27.31,499.14,No
Female,0,Yes,No,44,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),65.72,2914.28,Yes
Female,1,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,86.4,3778.58,No
Male,0,Yes,No,63,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,92.33,5838.87,No
Male,0,No,No,18,No,No phone service,Fiber optic,No internet service,No,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),59.85,1062.18,No
Male,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,No,Electronic check,81.57,5324.01,No
Female,0,No,No,3,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),113.49,343.72,Yes
Male,0,Yes,Yes,45,Yes,No,No,No,No,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),87.68,3955.1,No
Male,0,No,No,5,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,93.45,492.68,Yes
Female,0,No,Yes,6,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,83.33,471.71,Yes
Female,0,Yes,No,37,Yes,No,No,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),47.51,1739.93,No
Female,1,Yes,Yes,7,Yes,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),78.34,557.37,Yes
Male,0,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),21.44,551.47,No
Female,0,No,No,26,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,Yes,One year,Yes,Mailed check,55.8,1449.87,No
Female,1,No,No,71,Yes,No,No,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),82.61,5848.71,No
Female,0,No,Yes,11,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),65.55,738.42,Yes
Female,0,Yes,Yes,52,No,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No,One year,Yes,Mailed check,92.71,4809.41,No
Male,0,Yes,No,24,Yes,No,No,No,No,No,No,No,No internet service,Two year,No,Credit card (automatic),29.32,696.81,No
Male,0,No,Yes,56,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No,Two year,No,Bank transfer (automatic),115.46,6482.46,No
Female,0,No,No,19,No,Yes,DSL,No,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,50.27,979.17,No
Female,0,No,No,26,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Electronic check,29.92,786.05,No
Female,1,Yes,No,20,No,Yes,DSL,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,103.22,2061.59,No
Male,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),79.98,893.56,Yes
Male,0,No,No,37,Yes,No,No,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,64.22,2359.98,No
Male,0,No,Yes,44,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),74.48,3265.26,No
Female,0,No,Yes,25,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,69.2,1756.59,No
Female,0,No,No,60,No,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,65.44,3912.26,No
Male,0,Yes,Yes,51,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),97.86,5016.3,No
Female,0,No,Yes,26,Yes,No,DSL,Yes,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),40.58,1083.67,Yes
Female,1,No,No,65,Yes,Yes,No,Yes,No,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),66.94,4370.03,No
Female,0,Yes,Yes,29,Yes,Yes,No,No internet service,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),108.58,3129.26,No
Male,0,No,No,38,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,93.29,3538.35,No
Female,0,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),63.41,3754.49,No
Male,0,No,No,1,Yes,Yes,DSL,No internet service,No,No,No internet service,Yes,Yes,One year,No,Electronic check,71.55,61.22,No
Female,0,No,Yes,66,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),98.91,6549.31,No
Female,0,No,No,6,Yes,No,No,No,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,72.12,423.05,Yes
Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,99.62,5970.76,No
Female,0,Yes,No,5,Yes,No,No,No,No internet service,No internet service,No,No,No,One year,No,Mailed check,37.17,159.92,No
Male,0,No,Yes,59,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.96,1583.6,Yes
Male,0,Yes,No,50,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,45.08,2276.39,No
Male,0,No,Yes,11,No,No,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,104.73,1129.41,Yes
Male,0,Yes,No,44,Yes,No,No,Yes,Yes,Yes,No,Yes,No internet service,One year,No,Mailed check,53.27,2356.5,No
Female,1,Yes,No,14,No,No,DSL,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,28.84,398.01,Yes
Male,0,Yes,No,6,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,50.99,322.32,No
Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),54.62,353.32,Yes
Male,0,No,Yes,68,No,Yes,DSL,No,No,No,No,Yes,No internet service,One year,No,Credit card (automatic),81.99,5587.45,No
Female,0,No,No,20,Yes,No,DSL,No,Yes,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),31.28,623.56,No
Female,0,Yes,No,9,Yes,No phone service,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.94,837.84,Yes
Female,0,Yes,No,40,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,100.85,4014.34,No
Female,0,Yes,No,31,Yes,Yes,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,22.24,662.12,No
Male,0,No,Yes,17,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,21.73,383.22,No
Male,0,No,Yes,16,Yes,No,No,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),53.03,827.73,No
Female,0,No,No,30,Yes,No phone service,No,No,No internet service,No,No,No,No internet service,Two year,Yes,Mailed check,107.7,3255.98,No
Female,0,Yes,No,62,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),85.12,5286.52,No
Male,0,No,Yes,39,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,57.54,2246.7,No
Female,0,No,No,27,Yes,No,No,No,No internet service,No,No,Yes,Yes,One year,Yes,Electronic check,90.61,2461.07,No
Male,0,No,Yes,72,Yes,No,DSL,No,No internet service,Yes,No internet service,No,Yes,Two year,No,Electronic check,44.11,3177.12,No
Female,0,Yes,Yes,41,Yes,No phone service,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),26.02,1077.84,No
Male,0,No,Yes,30,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,Yes,No,One year,No,Mailed check,73.37,2208.73,No
Female,0,Yes,No,34,Yes,No,No,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Electronic check,110.04,3748.39,Yes
Male,0,No,Yes,27,Yes,No phone service,DSL,Yes,Yes,No internet service,No,No,No,Two year,Yes,Electronic check,64.92,1761.22,No
Male,0,No,Yes,20,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.75,2074.63,Yes
Male,0,Yes,Yes,68,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.96,3741.21,No
Female,0,Yes,No,51,Yes,No,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),75.4,3852.79,No
Female,0,Yes,Yes,27,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,101.17,2745.53,No
Female,0,Yes,No,54,Yes,No,No,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),42.33,2307.27,No
Female,0,Yes,No,21,Yes,No phone service,DSL,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,75.83,1604.09,Yes
Female,0,Yes,No,28,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,27.1,767.52,No
Female,0,Yes,No,47,Yes,Yes,DSL,No internet service,No,No,No,No,No internet service,One year,Yes,Mailed check,18.85,858.68,No
Female,0,Yes,No,17,Yes,No,No,No,No,Yes,No internet service,No,No,Two year,No,Mailed check,79.98,1373.42,No
Female,0,No,No,47,Yes,No,No,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Mailed check,78.7,3686.3,No
Male,1,Yes,No,65,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,66.86,4368.44,Yes
Male,0,No,No,36,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,42.79,1512.99,No
Male,0,Yes,No,46,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,No,One year,Yes,Mailed check,71.15,3271.3,No
Female,0,No,No,65,Yes,Yes,No,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),54.75,3569.5,No
Female,0,Yes,No,58,Yes,Yes,DSL,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,37.08,2171.58,No
Male,0,No,Yes,28,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,51.56,1434.41,No
Female,0,Yes,No,4,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),55.52,212.59,No
Male,0,No,No,42,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.49,3392.55,No
Male,0,No,No,50,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),96.02,4825.21,No
Female,0,Yes,No,8,Yes,No,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),102.64,826.5,Yes
Female,0,No,Yes,53,No,Yes,DSL,Yes,Yes,No internet service,Yes,No,No,One year,Yes,Mailed check,70.62,3731.26,No
Female,0,No,No,54,No,No,No,No,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),76.2,4085.41,No
Female,0,No,No,7,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,47.0,304.08,Yes
Male,1,Yes,Yes,46,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,111.51,5117.6,No
